yahooId,name,team,position,status,injuryType,depthChart,rawPlayerText
40234,Parker Washington,JAX,WR,Q,Undisclosed,Jax,Parker WashingtonQVideo ForecastPlayer Note Jax - WR Sun 1:00 pm vs Cle
40180,Will Mallory,IND,TE,Q,Thumb,Ind,Will MalloryQPlayer Note Ind - TE Sun 1:00 pm vs Bal
34104,Khalil Shakir,BUF,WR,Q,Undisclosed,Buf,Khalil ShakirQVideo ForecastPlayer Note Buf - WR Sun 1:00 pm @ Hou
30180,Alvin Kamara,NO,RB,Q,Knee - MCL,NO,Alvin KamaraQVideo ForecastPlayer Note NO - RB Sun 1:00 pm @ Det
42676,Eli Stowers,PHI,TE,Q,Hamstring,Phi,Eli StowersQNew Player Note Phi - TE Sun 4:25 pm vs Was
30115,Mitchell Trubisky,TEN,QB,Q,Biceps,Ten,Mitchell TrubiskyQPlayer Note Ten - QB Sun 1:00 pm vs NYJ
30121,Christian McCaffrey,SF,RB,Q,Undisclosed,SF,Christian McCaffreyQVideo ForecastPlayer Note SF - RB Thu 8:35 pm @ LAR
30123,Patrick Mahomes,KC,QB,Q,Knee - ACL,KC,Patrick MahomesQVideo ForecastNew Player Note KC - QB Mon 8:15 pm vs Den
42687,Carson Beck,ARI,QB,Q,Ribs,Ari,Carson BeckQVideo ForecastPlayer Note Ari - QB Sun 4:25 pm @ LAC
42655,De'Zhaun Stribling,SF,WR,Q,Shoulder,SF,De'Zhaun StriblingQVideo ForecastNew Player Note SF - WR Thu 8:35 pm @ LAR
40630,Tyrell Shavers,BUF,WR,PUP,Knee - ACL,Buf,Tyrell ShaversPUP-PNo new player Notes Buf - WR Sun 1:00 pm @ Hou
40998,Isaac Guerendo,SF,RB,PUP,Pectoral,SF,Isaac GuerendoPUP-PNo new player Notes SF - RB Thu 8:35 pm @ LAR
40075,Zach Charbonnet,SEA,RB,PUP,Knee - ACL,Sea,Zach CharbonnetPUP-PVideo ForecastPlayer Note Sea - RB Wed 8:20 pm vs NE
34008,Alec Pierce,IND,WR,PUP,Ankle,Ind,Alec PiercePUP-PVideo ForecastPlayer Note Ind - WR Sun 1:00 pm vs Bal
41188,Mason Tipton,NO,WR,PUP,Leg,NO,Mason TiptonPUP-PNo new player Notes NO - WR Sun 1:00 pm @ Det
40074,Luke Musgrave,GB,TE,PUP,Neck,GB,Luke MusgravePUP-PNo new player Notes GB - TE Sun 4:25 pm @ Min
